,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,mK7l4qQ9j5c,Shorts,42,周某人,小兄弟 你这亏大发了呀#周公谨,2022-04-04T09:53:00Z,小兄弟 你这亏大发了呀#周公谨,1947189,38069,474,PT41S
1,HZnL5aPn9w8,Shorts,42,周某人,不好意思，这回让我给装到了！#周公谨 @小鞋生教父 @安妮娜 @秦半仙,2022-02-09T09:28:00Z,不好意思，这回让我给装到了！#周公谨 @小鞋生教父 @安妮娜 @秦半仙,1087934,62072,203,PT57S
2,BT_SUoxQF-Y,Shorts,42,周某人,这公司的福利还不错吧？#周公谨,2022-04-03T09:35:01Z,这公司的福利还不错吧？#周公谨,600920,36304,109,PT51S
3,0t4CNbgxOZc,Shorts,42,周某人,朋友们你们说我做的对吗#周公谨 @小鞋生教父 @秦半仙,2022-02-05T09:10:00Z,朋友们你们说我做的对吗#周公谨 @小鞋生教父 @秦半仙,574871,29176,60,PT25S
4,hQ39yRnuKE4,Shorts,42,高手在民间,肺活量赢奖金，这样的公司你想来吗#办公室游戏 @爆笑办公室,2022-06-07T09:59:01Z,#shorts,424011,9518,8,PT35S
5,V0wKPjz7Nhg,Shorts,42,周某人,表哥被开除，表弟开豪车来迎接#周公谨 @小鞋生教父 @秦半仙,2022-02-05T09:03:00Z,表哥被开除，表弟开豪车来迎接#周公谨 @小鞋生教父 @秦半仙,204336,11009,30,PT28S
6,MnLjVkNrJSE,Shorts,42,scene Kiss,This trio is the best☀️ #kdramaedit#extraordinaryyou#snowdropkdrama#kdramalover#asiandrama#kdramalo,2022-06-11T06:00:40Z,7055734468606283014,101106,8474,19,PT33S
7,2XPUXCXqd0o,Shorts,42,周某人,#荣耀增幅王 #荣耀全明星 好久没来上班了 居然这样对我  #周公谨,2022-02-05T09:46:01Z,#荣耀增幅王 #荣耀全明星 好久没来上班了 居然这样对我  #周公谨,71672,3710,9,PT58S
8,x64khxVGhIE,Shorts,42,学姐的宿舍,小长假，陪学姐一起，宿舍过家家 #宿舍生活 #宿舍改造 @准大一宿舍空间 @到顶宿舍  #shorts,2023-06-08T08:00:32Z,小长假，陪学姐一起，宿舍过家家 #宿舍生活 #宿舍改造 @准大一宿舍空间 @到顶宿舍  #shorts,19653,458,2,PT34S
9,f-jFdHUOe0s,Shorts,42,小汪是只猫,为宠物的幸福感增加一点用心，猫粮容易变潮，这干燥条抓紧准备起来哦萌宠好物 宠物用品 新手养猫  #shorts,2023-06-14T08:00:17Z,为宠物的幸福感增加一点用心，猫粮容易变潮，这干燥条抓紧准备起来哦萌宠好物 宠物用品 新手养猫  #shorts,10337,135,0,PT13S
10,K0ddoY-pfdM,Shorts,42,终于五岁噜,这街还能不能逛了？#情侣日常 #恋爱  #shorts,2023-06-13T04:00:13Z,这街还能不能逛了？#情侣日常 #恋爱  #shorts,7427,118,0,PT13S
11,zpdJwZdzd8k,Shorts,42,小松想要羊羊幸福,你们的女朋友也是这样的嘛 直接变成我的专属挂件 到哪都要黏人着我#情侣日常 #甜甜的恋爱  #shorts,2023-06-12T08:00:34Z,你们的女朋友也是这样的嘛 直接变成我的专属挂件 到哪都要黏人着我#情侣日常 #甜甜的恋爱  #shorts,5664,72,2,PT12S
12,rwZ0AlWGCQc,Shorts,42,妙妙美食,降温了，给自己爱的人做一碗有爱的汤吧，营养又鲜美！#家常营养汤的做法  #shorts,2023-06-11T04:00:21Z,降温了，给自己爱的人做一碗有爱的汤吧，营养又鲜美！#家常营养汤的做法  #shorts,5158,64,1,PT13S
13,Oy26QpVxpUw,Shorts,42,终于五岁噜,谁不想拥有一个这样的充电宝呢 #恋爱 #情侣  #shorts,2023-06-12T08:00:18Z,谁不想拥有一个这样的充电宝呢 #恋爱 #情侣  #shorts,5087,167,3,PT19S
14,R6-w_DzwQsI,Shorts,42,小白和橙子,当男朋友计划好一切…我就是那个意外！！#情侣日常 @小白🍊  #shorts,2023-06-10T04:00:14Z,当男朋友计划好一切…我就是那个意外！！#情侣日常 @小白🍊  #shorts,4465,206,0,PT49S
15,FxaD-_2i6jY,Shorts,42,孜罗拉,闺蜜：带你回味童年？🥹#内容过于真实 #父母懂你是什么体验 #闺蜜懂你是什么体验 #童年 #小时候vs长大后  #shorts,2023-06-10T08:00:11Z,闺蜜：带你回味童年？🥹#内容过于真实 #父母懂你是什么体验 #闺蜜懂你是什么体验 #童年 #小时候vs长大后  #shorts,3481,115,4,PT38S
16,-QaItphxze0,Shorts,42,学姐的宿舍,我！真的解放双手了！超好用的助眠手机支架来喽~#宿舍好物 #好物分享 #准大一新生#手机支架  #shorts,2023-06-14T04:00:00Z,我！真的解放双手了！超好用的助眠手机支架来喽~#宿舍好物 #好物分享 #准大一新生#手机支架  #shorts,3436,84,0,PT26S
17,1HvPMJZTZw4,Shorts,42,学姐的宿舍,贴壁风扇，赶走燥热迎来凉爽~#宿舍好物#好物分享#宿舍风扇 #准大一新生  #shorts,2023-06-13T04:00:01Z,贴壁风扇，赶走燥热迎来凉爽~#宿舍好物#好物分享#宿舍风扇 #准大一新生  #shorts,2966,29,0,PT19S
18,VCwW82TrQW8,Shorts,42,小汪是只猫,干净清爽 还不粘底的小米猫砂，你确定不试一试吗宠物用品 猫砂 新手养猫 猫砂推荐  #shorts,2023-06-12T08:00:12Z,干净清爽 还不粘底的小米猫砂，你确定不试一试吗宠物用品 猫砂 新手养猫 猫砂推荐  #shorts,2907,70,0,PT27S
19,W106TdkV_6Y,Shorts,42,旎旎不生气,？？？我男朋友呢？#我们依然是我们 #情侣日常  #shorts,2023-06-09T04:00:14Z,？？？我男朋友呢？#我们依然是我们 #情侣日常  #shorts,2881,16,1,PT7S
20,SM4KPyKmaJg,Shorts,42,一只小乔学姐,独居女生必看⚠️希望这些技巧你们永远用不上 #出门注意 #女生必看 #女性安全  #shorts,2023-06-13T13:00:20Z,独居女生必看⚠️希望这些技巧你们永远用不上 #出门注意 #女生必看 #女性安全  #shorts,2791,90,2,PT1M
21,yBfyTnreAcg,Shorts,42,学姐的宿舍,床上桌——橡胶摩擦件的作用#安装教程 #准大一宿舍 #学生宿舍 #大学生活  #shorts,2023-06-11T04:00:33Z,床上桌——橡胶摩擦件的作用#安装教程 #准大一宿舍 #学生宿舍 #大学生活  #shorts,2786,13,0,PT27S
22,bjDnNigNpr4,Shorts,42,小松想要羊羊幸福,是我一无所有时陪我不离不弃的女孩 是我受伤时会心疼到哭的女孩 是她让我知道男孩也可以被爱的 谢谢我的女孩❤️#关于爱情  #shorts,2023-06-10T08:00:18Z,是我一无所有时陪我不离不弃的女孩 是我受伤时会心疼到哭的女孩 是她让我知道男孩也可以被爱的 谢谢我的女孩❤️#关于爱情  #shorts,2714,36,0,PT18S
23,7v8o_bTvPs0,Shorts,42,学姐的宿舍,到顶衣架挂——牢固测试#宿舍好物#好物分享 #准大一新生  #shorts,2023-06-12T04:00:04Z,到顶衣架挂——牢固测试#宿舍好物#好物分享 #准大一新生  #shorts,2558,28,0,PT18S
24,BBvsWIGj9Do,Shorts,42,小松想要羊羊幸福,发簪一生只为一人戴 以后可以给你挽一辈子头发啦@羊羊🐑 #簪子挽发 #愿每个女孩都能嫁给爱情  #shorts,2023-06-13T13:00:09Z,发簪一生只为一人戴 以后可以给你挽一辈子头发啦@羊羊🐑 #簪子挽发 #愿每个女孩都能嫁给爱情  #shorts,2516,78,0,PT25S
25,qOaEy7D-JNk,Shorts,42,牛牛折纸手工,教你折个好玩的#折纸 #亲子手工 #手工 #手工diy #自制玩具  #shorts,2023-06-11T04:00:32Z,教你折个好玩的#折纸 #亲子手工 #手工 #手工diy #自制玩具  #shorts,2500,61,0,PT20S
26,4F_YembYgMk,Shorts,42,小松想要羊羊幸福,我知道你是一个很缺乏安全感的人 容易患得患失 特别在意细节 需要事事有回应 件件有着落 所以我会努力给你最大的安全感@羊羊🐑#爱情 #细节里的温柔  #shorts,2023-06-11T04:00:04Z,我知道你是一个很缺乏安全感的人 容易患得患失 特别在意细节 需要事事有回应 件件有着落 所以我会努力给你最大的安全感@羊羊🐑#爱情 #细节里的温柔  #shorts,2353,47,2,PT18S
27,s9f2qfOjFhY,Shorts,42,学姐的宿舍,床尾收纳区——牢固测试#宿舍好物#好物分享 #准大一新生  #shorts,2023-06-12T08:00:19Z,床尾收纳区——牢固测试#宿舍好物#好物分享 #准大一新生  #shorts,2345,16,0,PT15S
28,-pmSIfcxwlQ,Shorts,42,京城小夜猫,这应该是海鲜自助的天花板了吧！海鲜自助 海鲜  #shorts,2023-06-13T08:00:00Z,这应该是海鲜自助的天花板了吧！海鲜自助 海鲜  #shorts,2286,29,3,PT58S
29,Kq13P2hG_oo,Shorts,42,大梨轻食光,好喜欢这种沙沙的糯糯的紫薯，甜糯可口好好吃！主要开袋即食好方便~#紫薯 #开袋即食 #粗粮主食  #shorts,2023-06-10T04:00:08Z,好喜欢这种沙沙的糯糯的紫薯，甜糯可口好好吃！主要开袋即食好方便~#紫薯 #开袋即食 #粗粮主食  #shorts,2261,52,0,PT19S
30,d2OnSkLC9Hg,Shorts,42,牛牛折纸手工,如流星之箭的追云号纸飞机#手工 #折纸 #纸飞机 #幼儿园手工 #手工diy  #shorts,2023-06-13T04:00:30Z,如流星之箭的追云号纸飞机#手工 #折纸 #纸飞机 #幼儿园手工 #手工diy  #shorts,2124,47,0,PT23S
31,AncegEchqF0,Shorts,42,周吉吉,游乐园有个旋转什么来着？叫你的臭宝进来学！#游乐园拍照 #假期游玩 #拍照姿势  #shorts,2023-06-13T04:00:05Z,游乐园有个旋转什么来着？叫你的臭宝进来学！#游乐园拍照 #假期游玩 #拍照姿势  #shorts,2075,87,2,PT1M
32,u0qMfYOVOVk,Shorts,42,美妆师咕咚,赶紧叫你有嘴的对象或者闺蜜七夕来给你喷个彩虹 #喷水彩虹 #爱对了每天都是七夕  #shorts,2023-06-14T04:00:32Z,赶紧叫你有嘴的对象或者闺蜜七夕来给你喷个彩虹 #喷水彩虹 #爱对了每天都是七夕  #shorts,2075,54,1,PT34S
33,yodDw56EkaA,Shorts,42,卡娜迪服饰,看着不大聪明的样子  #shorts,2023-06-09T08:00:34Z,看着不大聪明的样子  #shorts,2044,42,1,PT10S
34,wbKq15hws4g,Shorts,42,林夕Jane,容貌焦虑身材焦虑别来沾边！#容貌焦虑怎么办 #拒绝容貌焦  #爱自己  #shorts,2023-06-10T04:00:25Z,容貌焦虑身材焦虑别来沾边！#容貌焦虑怎么办 #拒绝容貌焦  #爱自己  #shorts,1921,25,1,PT18S
35,DIt2_sf_j7s,Shorts,42,妙妙美食,我认为这才是鱼香肉丝的正确做法#真材实料才能做出好味道 #唯有美食可以治愈一切  #shorts,2023-06-12T08:00:11Z,我认为这才是鱼香肉丝的正确做法#真材实料才能做出好味道 #唯有美食可以治愈一切  #shorts,1916,27,0,PT29S
36,yaAU1-dDZrw,Shorts,42,大喜养猫,养猫人清洁好物分享好物推荐🔥   #shorts,2023-06-13T13:00:46Z,养猫人清洁好物分享好物推荐🔥   #shorts,1893,0,0,PT1M39S
37,IsLojGODBWM,Shorts,42,终于五岁噜,诡计多端的男人！#情侣 #vlog日常  #shorts,2023-06-10T08:00:17Z,诡计多端的男人！#情侣 #vlog日常  #shorts,1857,31,0,PT49S
38,n0XIgRvazyg,Shorts,42,学姐的宿舍,超级舒服的床上生活，快来加入我们吧！！#安装教程#准大一新生 #学生宿舍 #大学生活  #shorts,2023-06-10T04:00:19Z,超级舒服的床上生活，快来加入我们吧！！#安装教程#准大一新生 #学生宿舍 #大学生活  #shorts,1842,28,0,PT27S
39,upQLwV3fZws,Shorts,42,Angel阿,我的老板有点帅…  #shorts,2023-06-10T04:00:33Z,我的老板有点帅…  #shorts,1797,22,0,PT14S
40,omjHhfNCbCE,Shorts,42,大梨轻食光,#减脂期 降温了，来一锅这个拿肉都不换的白菜豆腐煲吧~真的太好吃了！吃完浑身暖洋洋的~#低卡低脂餐 #减脂餐  #shorts,2023-06-09T13:00:40Z,#减脂期 降温了，来一锅这个拿肉都不换的白菜豆腐煲吧~真的太好吃了！吃完浑身暖洋洋的~#低卡低脂餐 #减脂餐  #shorts,1699,20,0,PT26S
41,joIwKCgOq7s,Shorts,42,失野晶,成熟男人和他爱作的祖宗  #shorts,2023-06-13T13:00:26Z,成熟男人和他爱作的祖宗  #shorts,1694,54,0,PT7S
42,mR5U7V-20Lw,Shorts,42,花和小介,合着我巴巴巴说一堆她一句没听#情侣日常  #shorts,2023-06-09T08:00:21Z,合着我巴巴巴说一堆她一句没听#情侣日常  #shorts,1677,33,0,PT30S
43,lfw_zm6romg,Shorts,42,妙妙美食,原来鲫鱼是要敲打了才会这么好喝，学会了吗？#鲫鱼汤  #shorts,2023-06-13T13:00:37Z,原来鲫鱼是要敲打了才会这么好喝，学会了吗？#鲫鱼汤  #shorts,1653,24,1,PT37S
44,m0TU3xJekCw,Shorts,42,卡娜迪服饰,女人最好的状态，有男人的性格，女人的性情，有能力爱自己，也有格局爱他人#优雅  #shorts,2023-06-10T04:00:17Z,女人最好的状态，有男人的性格，女人的性情，有能力爱自己，也有格局爱他人#优雅  #shorts,1643,34,1,PT11S
45,zPcrgkmLwcQ,Shorts,42,总的小娇妻,第一次被街拍 成都果然是个包容性很强的城市 #情侣日常 #情侣街拍 #法律援助  #shorts,2023-06-10T08:00:23Z,第一次被街拍 成都果然是个包容性很强的城市 #情侣日常 #情侣街拍 #法律援助  #shorts,1641,33,1,PT22S
46,R1A5PQrGpao,Shorts,42,小汪是只猫,哪有铲屎官不喜欢一周下来既干净、又清爽的猫砂，粉尘少  除臭好，结团小，一袋就能用好久萌宠好物 猫砂 猫砂推荐  #shorts,2023-06-10T08:00:13Z,哪有铲屎官不喜欢一周下来既干净、又清爽的猫砂，粉尘少  除臭好，结团小，一袋就能用好久萌宠好物 猫砂 猫砂推荐  #shorts,1642,39,0,PT35S
47,IS4YarkCohs,Shorts,42,学姐的宿舍,国庆回来，我也想有这样温暖舒适的小窝！！#安装教程 #准大一宿舍 #学生宿舍 #大学生活  #shorts,2023-06-08T13:00:17Z,国庆回来，我也想有这样温暖舒适的小窝！！#安装教程 #准大一宿舍 #学生宿舍 #大学生活  #shorts,1631,30,1,PT19S
48,TlhvVeScU50,Shorts,42,金财和腊凤,我只是好心把你东西变大了…#情侣  #shorts,2023-06-10T04:00:12Z,我只是好心把你东西变大了…#情侣  #shorts,1593,28,0,PT57S
49,ExTWDIUVpng,Shorts,42,一毛栗子,男朋友碎碎念的样子 像极了一个操碎心的“老父亲”哈哈哈哈@栗子的饲养员 #情侣日常 #有没有同款男朋友 #爹系男友  #shorts,2023-06-10T08:00:06Z,男朋友碎碎念的样子 像极了一个操碎心的“老父亲”哈哈哈哈@栗子的饲养员 #情侣日常 #有没有同款男朋友 #爹系男友  #shorts,1601,23,0,PT52S
