,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,S0W0RkIOVTA,Trailers,44,DisneyMoviesInternational,Cars - Motori ruggenti (TBD) - Trailer,2015-01-08T19:09:42Z,"Dagli straordinari creatori di Toy Story, Gli Incredibili e Alla ricerca di Nemo una nuova e scoppiettante avventura che mostra come nella vita ciò che conta è il viaggio e non la destinazione. L'astro nascente delle corse Saetta McQueen, un fiammante bolide con il successo come unico obiettivo, si trova costretto ad un'inaspettata deviazione nel corso del lungo viaggio per partecipare alla gara più importante della sua carriera. Bloccato nella sonnacchiosa cittadina di Radiator Springs, lungo il vecchio tracciato della Route 66, incontra Sally, Carl Attrezzi, Dottor Hudson e tutta una serie di bizzarri personaggi che lo aiuteranno a capire che nella vita non contano solo i trofei e la fama. Arricchito da un'eccezionale colonna sonora e da strepitosi contenuti speciali, incluso I'esclusivo cortometraggio ""Carl Attrezzi e la Luce Fantasma"", Cars è un irresistibile concentrato di azione e divertimento. (Titolo originale - Cars) © 2006 Disney/Pixar",33266105,62144,,PT2M6S
1,9QpYq2tGKuI,Trailers,44,LionsgateUKMovies,Dirty Dancing: Havana Nights - Trailer,2011-10-10T10:45:48Z,"It's 1958 when the Miller family moves to Havana, where 18-year-old Katy's (Romola Garai) parents expect her to be the belle of the high-society ball. Instead, she falls for Xavier (Diego Luna), a waiter who teaches her how to dance and partners with her for an upcoming contest. But Fidel Castro's rise to power forces Americans to depart, putting Katy and Xavier's relationship in jeopardy.  2004 Havana Nights, LLC. All Rights Reserved.",17703834,,0,PT2M43S
2,NBNme_CcByM,Trailers,44,FoxInternationalHERU,Ледниковый период 2: Глобальное потепление,2012-12-04T23:01:49Z,"Ледниковый период подходит к концу: райские водные парки из талой воды, гейзеры и рвы, наполненные горячей грязью. Но когда Мэнни и его друзья понимают, что таящие ледники угрожают потопом их родной долине, они считают своим долгом предупредить всех об опасности и попытаться найти выход из столь сложной ситуации.",10925991,,,PT8M25S
3,bLvqoHBptjg,Trailers,44,Paramount Movies,Forrest Gump - Trailer,2012-05-22T07:14:02Z,"Stupid is as stupid does, says Forrest Gump (played by Tom Hanks in an Oscar-winning performance) as he discusses his relative level of intelligence with a stranger while waiting for a bus. Despite his sub-normal IQ, Gump leads a truly charmed life, with a ringside seat for many of the most memorable events of the second half of the 20th century. Entirely without trying, Forrest teaches Elvis Presley to dance, becomes a football star, meets John F. Kennedy, serves with honor in Vietnam, meets Lyndon Johnson, speaks at an anti-war rally at the Washington Monument, hangs out with the Yippies, defeats the Chinese national team in table tennis, meets Richard Nixon, discovers the break-in at the Watergate, opens a profitable shrimping business, becomes an original investor in Apple Computers, and decides to run back and forth across the country for several years. Meanwhile, as the remarkable parade of his life goes by, Forrest never forgets Jenny (Robin Wright Penn), the girl he loved as a boy, who makes her own journey through the turbulence of the 1960s and 1970s that is far more troubled than the path Forrest happens upon. Featured alongside Tom Hanks are Sally Field as Forrest's mother, Gary Sinise as his commanding officer in Vietnam, Mykelti Williamson as his ill-fated Army buddy who is familiar with every recipe that involves shrimp, and the special effects artists whose digital magic place Forrest amidst a remarkable array of historical events and people.",6707305,,,PT3M47S
4,2GP9HNBxW7U,Trailers,44,YRF Movies,Mujhse Dosti Karoge - Trailer,2014-06-18T06:36:45Z,"► Release Date: 09 August 2002
► Subscribe us http://goo.gl/Y4p3k
► Like us on Facebook  https://www.facebook.com/yrf
► Follow us on Twitter  https://twitter.com/yrf
► Circle us on YRF G+  https://plus.google.com/+yrf
► Follow us on Instagram http://instagram.com/yrf
► Follow us on Pinterest  http://pinterest.com/yrf

Watch Full Movie on: 
Google Play - http://goo.gl/R1Ibvq
YouTube - http://youtu.be/-6CDhN2KLD8
iTunes - http://goo.gl/Yfp6Yx

Starring:  Hrithik Roshan, Kareena Kapoor, Rani Mukerji & Uday Chopra
Lyrics By: Anand Bakshi
Music By: Rahul Sharma
Produced By: Yash Chopra
Directed By: Kunal Kohli

What would you do if the one you loved was not actually the one you loved.

What would you do if your best friend was in love with the one you love.

What would you do if your best friends are sacrificing their love for you.

Meet Raj, Pooja and Tina - 3 best friends thrown into a situation that time, letters, love and separation have created for them.

Friendship. Beginning of every relationship ends in love. And love. Well it can have only 2 ends. A happy and a sad one. Or can there be a third ending for these three friends.
",6647776,17999,639,PT2M35S
5,wPosLpgMtTY,Trailers,44,Sony Pictures Home Entertainment,Spider-man 3 (2007) - Trailer,2014-03-27T05:07:23Z,"Columbia Pictures' Spider-Man™ 3 reunites the cast and filmmakers from the first two blockbuster adventures for a web of secrets, vengeance, love, and forgiveness that will transport worldwide audiences to thrilling new heights on May 4, 2007. In Spider-Man™ 3, based on the legendary Marvel Comics series, Peter Parker has finally managed to strike a balance between his devotion to M.J. and his duties as a superhero. But there is a storm brewing on the horizon. When his suit suddenly changes, turning jet-black and enhancing his powers, it transforms Peter as well, bringing out the dark, vengeful side of his personality that he is struggling to control. Under the influence of the suit, Peter becomes overconfident and starts to neglect the people who care about him most. Forced to choose between the seductive power of the new suit and the compassionate hero he used to be, Peter must overcome his personal demons as two of the most-feared villains yet, Sandman and Venom, gather unparalleled power and a thirst for retribution to threaten Peter and everyone he loves. © 2007 Columbia Pictures Industries, Inc.  All Rights Reserved.  |  MARVEL, and all Marvel characters including the Spider-Man, Sandman and Venom characters ™ & © 2013 Marvel Characters, Inc. All Rights Reserved.",6076081,,8627,PT2M27S
6,YtQq0T3ExLs,Trailers,44,Paramount Movies,Zoolander - Trailer,2012-05-16T20:45:34Z,"Clear the runway for Derek Zoolander (Ben Stiller), VH1's three-time male model of the year. His face falls when hippie-chic Hansel (Owen Wilson) scooters in to steal this year's award. The evil fashion guru Mugatu (Will Ferrell) seizes the opportunity to turn Derek into a killing machine. It's a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories like Matilda (Christine Taylor) can Derek make the world safe for male models everywhere.",5092067,,,PT2M24S
7,NneVEzEzXRk,Trailers,44,LionsgateVOD,Tyler Perry's Madea Goes to Jail - The Play,2015-02-26T06:08:43Z,"Madea is about to be sent to the only place she won't be able to talk her way out of...jail! From acclaimed playwright Tyler Perry comes a spectacular new play performed live onstage and brilliantly captured for home presentation. Uplifting and uproarious, this tale of everybody's favorite Southern matriarch overflows with all the heartwarming laughter, and down-home wisdom synonymous with the name Madea.",4798995,,,PT2M4S
8,GGssZksONtY,Trailers,44,Universal Pictures All-Access,"Minions | Trailer | Own it on 4K, Blu-ray, DVD & Digital",2015-10-29T17:25:52Z,"The story of Universal Pictures and Illumination Entertainment's Minions begins at the dawn of time. Starting as single-celled yellow organisms, Minions evolve through the ages, perpetually serving the most despicable of masters. Continuously unsuccessful at keeping these masters—from T. rex to Napoleon—the Minions find themselves without someone to serve and fall into a deep depression. But one Minion named Kevin has a plan, and he—alongside teenage rebel Stuart and lovable little Bob—ventures out into the world to find a new evil boss for his brethren to follow. The trio embark upon a thrilling journey that ultimately leads them to their next potential master, Scarlet Overkill (Academy Award®-winner Sandra Bullock), the world's first-ever female super-villain. They travel from frigid Antarctica to 1960s New York City, ending in 'mod' London, where they must face their biggest challenge to date: saving all of Minionkind...from annihilation.

Sandra Bullock (The Blind Side, Gravity) heads up an all-star voice cast including Golden Globe and recent Emmy Award®-winner Jon Hamm (""Mad Men,"" Bridesmaids), Academy Award-nominee Michael Keaton (Birdman: (Or The Unexpected Virtue of Ignorance), Toy Story 3), six-time Emmy Award-winner Allison Janney (""The West Wing,"" ""Masters of Sex,"" ""Mom""), Academy Award-nominee Steve Coogan (Despicable Me 2, Philomena), BAFTA Award-winner Jennifer Saunders (""Absolutely Fabulous,"" Shrek 2), and Academy Award-winner Geoffrey Rush (The King's Speech, Pirates of the Caribbean series). The inimitable voices of the Minions are again voiced by Academy Award-nominee Pierre Coffin (Despicable Me, Despicable Me 2) who co-directs with Kyle Balda (Dr. Seuss' The Lorax). Minions is produced by Illumination Entertainment CEO and founder Chris Meledandri and Janet Healy. Brian Lynch wrote the screenplay, and Chris Renaud serves as executive producer of the film.

Minions is an immensely entertaining film for all audiences called ""inventive and hilarious"" by Julian Roman, Movieweb.com.
Bonus Features Include:
- THREE MINI-MOVIES
- DELETED SCENE – ME, MYSELF AND STUART
- AROUND THE WORLD INTERACTIVE MAP
- BEHIND THE GOGGLES – THE ILLUMINATION STORY OF THE MINIONS: Get a ""behind the goggles"" look at the history and evolution of everyone's favorite yellow henchmen.
- ANIMATION:  Go behind the scenes and hear about the challenges and excitement behind the Minion characters and bringing them alive through animation in the movie
- LIGHTING, LAYOUT AND EFFECTS: A look at the ways in which layout and lighting plays a big role in the emotion and motivation in the movie. Also see the ways in which they try to keep the 60's vintage look and the challenges they face with very technical shots, where one shot can take weeks.
- JINGLE BELLS MINION STYLE: This holiday favorite is brought to life in a merry-Minion way. Now you get to sing along to the beloved video that was the most shared piece of content on Facebook in 2014.   
- And MUCH MUCH MORE

Official Website: https://www.uphe.com/movies/minions
Facebook: https://www.facebook.com/minions
Twitter: https://twitter.com/minions
Instagram: https://instagram.com/minionnation/
YouTube: https://www.youtube.com/illumination
Pinterest: https://www.pinterest.com/minionnation/
Tumblr: http://minionnation.tumblr.com
Hashtag: #Minions

About: The Universal Pictures All-Access channel is the place to be for all things about movies and behind-the-scenes.  Subscribe to our channel to keep up on all the latest videos.  Also, access hundreds of movies instantly. No planning, no waiting, no schedules. Buy or Rent hundreds of movies right now - right here on Youtube!  

Subscribe to Our Channel: http://uni.pictures/ytumsubscribe

Sign-up to receive updates, sneak peeks and offers here:  http://uni.pictures/emailyt

Facebook: https://www.facebook.com/universalstudiosentertainment/
Twitter: https://twitter.com/UniversalEnt
Instagram: https://www.instagram.com/universalentertainment/

Minions | Trailer | Own it on 4K, Blu-ray, DVD & Digital",4721648,,0,PT2M45S
9,neqBc-8f4tY,Trailers,44,UTV Motion Pictures,Himmatwala  I Official Trailer 2013 | Ajay Devgn I Tamannaah Bhatia,2013-01-24T10:45:02Z,"The 80's are back! Here's the trailer of Himmatwala, Sajid Khan's take on the 80's smash hit flick. This action comedy film starring Ajay Devgn and Tamannaah releases in cinemas on 29th March, 2013",4636938,,,PT2M26S
