,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,f2mdMcf-fJs,Science & Technology,28,MihaiDesigns,Who says one nozzle is enough!? 3D printing with different nozzle sizes,2021-06-04T12:54:58Z,"Most people only 3D print with the stock 0.4mm nozzle that came with the printer. Like a camera that comes with a stock lens, there's a lot you can do with it, but there are other options that open up new possibilities.

Use smaller nozzles for tiny details and larger ones for quicker printing. Trouble is that plastic doesn't have enough time to melt, so the larger nozzles will have to be longer as well, with longer heating blocks.

New hotends are coming out every day with improved melting capabilities, optimized for higher temperatures, or with other cool tweaks. But E3D's open sourced V6 hotend is still one of the best in terms of value. They've then expanded the options to the Volcano and the SuperVolcano hotends for more and more throughput.

Larger nozzles do have a downside: they can't print small details. So it's not a one size fits all kind of scenario. It's a matter of using the right nozzle for the job. 3D printing is awesome!

3D Benchy STL (boat model) at http://www.3dbenchy.com/


Patreon https://www.patreon.com/mihaidesigns
Buy me a coffee http://mihaid.com/coffee
Instagram: https://www.instagram.com/mihaidesigns/​
https://mihaidesigns.com

#mihaidesigns #shorts",458297811,8495215,10049,PT28S
1,_CKhQnjBtGM,Science & Technology,28,ToolsToday,Carving Logo and Filling With Epoxy,2021-01-15T15:28:51Z,"Carving the Toolstoday logo using the Amana Tool item no. 45624-K 60° Spektra™ coated v-bit from the Toolstoday Website! **What do you think of how this logo turned out?
- - - - - - -
RPM: 18,000
Feed Rate: 40ipm
Plunge Rate: 20ipm
Depth of Cut: .21""
- - - - - - -
This bit left a very clean cut that was filled with Total Boat 2:1 epoxy and some pure white Black Diamond Pigment. Find the epoxy here - https://www.totalboat.com/product/high-performance-21-epoxy-kits After the epoxy cured I flattened it off with the item no. RC-2255 2.5"" Diameter 3 wing insert carbide flattening bit available from Toolstoday.
- - - - - - -
RPM: 18,000
Feed Rate: 190ipm
Plunge Rate: 80ipm
- - - - - - -
I used a couple of pieces of blue painters tape to offset the touch off probe so it didn't potentially hit any new wood. Flattening this saves a lot of sanding as the epoxy is not easy to remove. After flattening 20 seconds of sanding with 220 grit and this tray is ready for finish! #short",198169047,3539715,5224,PT52S
2,zUaMtSMZDgg,Science & Technology,28,Namecheap,See Spike launch his online business with Namecheap,2019-05-21T19:31:57Z,"Be like Spike! Launch your professional website in minutes with Namecheap. Domains, hosting, security and more! Sign up today at https://www.namecheap.com/",82809735,2598,40,PT31S
3,I4lksXaU1qk,Science & Technology,28,Tommy Technetium,Liquid oxygen is magnetic! 🧲,2022-05-21T19:09:29Z,The magnetic properties of liquid nitrogen and liquid oxygen are compared,69047285,1951541,7685,PT33S
4,JHUAhljsDcU,Science & Technology,28,KBTG,ไม่ว่าคุณจะเป็นคนใช้เงินแบบไหนก็จัดการเงินได้ง่ายๆ ด้วย MAKE by KBank,2021-10-21T06:00:24Z,"MAKE by KBank - ตัวช่วยจัดการเงิน จัด จ่าย จด ในที่เดียว
________________

iOS https://kbank.co/3hsi4C5
Android https://kbank.co/2Vb8ISd
Website https://makebykbank.kbtg.tech

#MAKEbyKBank #LetsMAKEIt #CloudPocket #จัดการเงินง่ายด้วยMAKE #MAKEจัดให้ #BeyondBanking #KBTG",30950763,209,4,PT1M
5,eGE-tFalwpA,Science & Technology,28,Clément Mihailescu,AlgoExpert | Ace the Coding Interviews,2019-10-30T14:00:06Z,"AlgoExpert - https://www.algoexpert.io - is the best platform to prepare for coding interviews. AlgoExpert offers 200 curated practice coding interview questions, each accompanied by:

1) An in-depth two-part video explanation consisting of a conceptual “whiteboard” overview of the algorithm at hand, covering its inner workings and its space-time complexity analysis, and an entire coding walkthrough of the solution.
2) Written solutions in nine popular programming languages (JavaScript, TypeScript, Python, Swift, Kotlin, C++, Java, C#, and Go).
3) A full-fledged coding workspace where you can type out and run your code against premade test cases and look at hints if you need help.

Become an AlgoExpert today at algoexpert.io.",24121900,14038,1403,PT35S
6,2Q2lFj3KsBU,Science & Technology,28,monday.com,Make this year more efficient with monday.com,2022-04-05T15:20:00Z,"With monday.com you can start building automated workflows easily and stop drowning in work. It's no wonder over 120,000 companies rely on monday.com to boost their productivity. Try it free, no credit card needed.",23915339,190,75,PT48S
7,tboW11dMeKs,Science & Technology,28,Great Big Story,Enter the Deadliest Garden in the World,2016-08-17T06:00:01Z,"Locked behind black steel doors in Northumberland, England, the Poison Garden at Alnwick Castle grows around 100 infamous killers. From deadly nightshade to hemlock, the only way a plant can take root in this garden is if it is lethal to humans. Created by the Duchess of Northumberland, this is one garden where you won't want to stop and smell the flowers.

SUBSCRIBE: https://goo.gl/vR6Acb

#PoisonGarden

Follow us behind the scenes on Instagram: http://goo.gl/2KABeX
Make our acquaintance on Facebook: http://goo.gl/Vn0XIZ
Give us a shout on Twitter: http://goo.gl/sY1GLY
Come hang with us on Vimeo: http://goo.gl/T0OzjV
Visit our world directly: http://www.greatbigstory.com

This story is a part of our Planet Earth series. From mammals to insects and birds to reptiles, we share this great big world with all manner of creatures, large and small. Come with us to faraway places as we explore our great big planet and meet some of its wildest inhabitants.

Great Big Story is a video network dedicated to the untold, overlooked & flat-out amazing. Humans are capable of incredible things & we're here to tell their stories. When a rocket lands in your backyard, you get in.",21916625,379376,23445,PT2M25S
8,Kw5-qlJKvD4,Science & Technology,28,Samsung,Let's Do Neo QLED 8K #UnboxAndDiscover | Samsung,2022-03-30T16:00:22Z,"We’re on a journey to redefine the role of screens — how they look, sound and fit — within your lives 
and our world. #UnboxAndDiscover all new 2022 #NeoQLED8K now. #ScreensforAll #Samsung
Visit http://smsng.co/NeoQLED8K

00:00 Unbox & Discover 2022
00:42 Opening speech from JH Han, Vice Chairman and CEO
08:25 Let's Go Further with Neo QLED 8K
09:40 SolarCell Remote 2022
10:59 Accessibility for all
12:02 Messages from Partners
13:35 Let's Do Neo QLED 8K
18:29 2022 Smart Hub
20:00 Messages from Nifty Gateway
21:37 Let's Play with Neo QLED 8K
26:12 Let's Experience with Neo QLED 8K
31:50 2022 Neo QLED 8K Infinity One Design
34:44 2022 Ultra Slim Soundbar
35:23 2022 Neo QLED and Soundbar lineup
35:59 Let's Make Your Own with Samsung TV Accessories
38:57 Closing speech
39:48 A letter from Neo QLED 8K",20755353,1546,146,PT40M48S
9,b13xnFp_LJs,Science & Technology,28,Apple,Apple Event — September 15,2020-09-15T18:14:08Z,"Watch the Apple Special Event and learn about the latest updates for Apple Watch, iPad Air, and more.

To watch the event interpreted in American Sign Language ASL please click here: https://youtu.be/1oUbl7a6i0Q

Introduction  00:00 
Apple WATCH   02:15
Apple Fitness+  28:42
Apple One   36:28
iPad   38:26

“Rise Up” by The Freedom Affair http://apple.co/TheFreedomAffair
“Hey bb!” by binki http://apple.co/binki
“Swim” by Young Echoes http://apple.co/YoungEchoes
“Go Time” by TYPO.S http://apple.co/TYPOS
“Bass Brain” by Dresage x Hark Madley http://apple.co/DresageHarkMadley
""Possibility Bells” by Ryan Lott http://apple.co/RyanLott
“Crocodile” by Melt Yourself Down http://apple.co/MeltYourselfDown
“On” by Kelly Lee Owens http://apple.co/KellyLeeOwens
“Yret” by Para One http://apple.co/ParaOne
“Pale Blue Dot” by Big Wild http://apple.co/BigWild",17859812,468412,,PT1H4M13S
10,tlX6bFji3E0,Science & Technology,28,Android Developers,"#TheAndroidShow: Tablets, Jetpack Compose, and Android 13 in 60 seconds!",2022-03-09T19:40:50Z,"Didn't catch #TheAndroidShow? Here's what we covered:

➡️ Behind the scenes for Jetpack Compose
➡️ Tablets and why large screens are going to be big this year for Android
➡️ Android 13 & other important themes for Android this year

Catch all videos here → https://goo.gle/The-Android-Show
Subscribe to Android Developers → https://goo.gle/AndroidDevs        

#Featured #Latest #TheAndroidShow 



Android - GeneralAndroid - General; fullname: Florina Muntenescu; re_ty: Publish;",17246522,329,22,PT1M1S
11,25hqWUXcDdA,Science & Technology,28,Wall Street Journal,Pregnant Robot Gives Birth: Tech Meets Medicine | WSJ,2016-10-19T14:25:21Z,"Meet Victoria, one of most technologically advanced and highly realistic ""patient simulators"" on the market. Watch her give birth via emergency c-section, as part of a medical training exercise. WSJ's Tanya Rivero reports.

Subscribe to the WSJ channel here:
http://bit.ly/14Q81Xy

More from the Wall Street Journal:
Visit WSJ.com: http://www.wsj.com

Follow WSJ on Facebook: http://www.facebook.com/wsjvideo
Follow WSJ on Google+: https://plus.google.com/+wsj/posts
Follow WSJ on Twitter: https://twitter.com/WSJvideo
Follow WSJ on Instagram: http://instagram.com/wsj
Follow WSJ on Pinterest: http://www.pinterest.com/wsj/ 
Don’t miss a WSJ video, subscribe here: http://bit.ly/14Q81Xy

More from the Wall Street Journal: 
Visit WSJ.com: http://www.wsj.com
Visit the WSJ Video Center: https://wsj.com/video

On Facebook: https://www.facebook.com/pg/wsj/videos/
On Twitter: https://twitter.com/WSJ
On Snapchat: https://on.wsj.com/2ratjSM",13417136,70241,7655,PT3M
12,JdBYVNuky1M,Science & Technology,28,Apple,Apple Event — April 20,2021-04-20T18:05:50Z,"Watch the special Apple Event and learn about the new iMac, iPad Pro, and more.

To watch the event interpreted in American Sign Language (ASL), please click here https://youtu.be/TWIHE9yEdOw 

00:00 Introduction 
04:51 iPhone 12 
06:06 AirTag 
10:36 Apple TV 
18:21 iMac
36:34 iPad Pro

Audio Descriptions: https://apple.co/3R9vK53

'The Darkness You Fear' - The Chemical Brothers http://apple.co/TheDarknessYouFear
'The Candy Man' - Aubrey Woods http://apple.co/TheCandyMan
'Every Color' - Louis The Child, Foster the People http://apple.co/EveryColor 
'Aquarium (Improvisation after Le Carnaval des animaux by Camille Saint-Saëns)’ - Thomas Enhco, Vassilena Serafimova & Camille Saint-Saëns http://apple.co/Aquarium
‘HIGH' - BAYNK http://apple.co/High
'Carrera' - Brokenstra & YADAM http://apple.co/Carrera
'Better In Color' - Lizzo http://apple.co/BetterInColor
'Note To Self (feat. Empress Of)' - Jim-E Stack http://apple.co/NoteToSelf
‘Comin' in Hot' - Atomic Drum Assembly http://apple.co/ComininHot
'Celeryjuice' - Party Favor http://apple.co/Celeryjuice
‘Move (feat. Sandwich Club)' - Jamra http://apple.co/Move
'Dream State' - Son Lux http://apple.co/DreamState


#AppleEvent #SpringLoaded #iPadPro #iPhone #iMac #M1 #AirTag #AppleTV

Welcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Apple’s more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.",12518509,348969,,PT1H1M3S
13,5AwdkGKmZ0I,Science & Technology,28,Apple,Apple Event — November 10,2020-11-10T18:52:28Z,"Watch the special Apple Event and learn about the next generation of Mac. Now with the Apple M1 chip, the new MacBook Air, 13-inch MacBook Pro, and Mac mini each take a huge leap forward.

To watch the event interpreted in American Sign Language (ASL), please click here: https://youtu.be/vaqwCqB-EZI

00:00 Introduction
04:39 Apple Silicon
14:00 macOS Big Sur
22:45 MacBook Air
29:50 Mac Mini
35:06 MacBook Pro

'Fly Away' by Tones and I http://apple.co/FlyAway
'Take Back The Power' by Raury http://apple.co/TakeBackThePower
'Music To Clean The House To' by Nick Leng http://apple.co/MusicToCleanTheHouseTo
'Playing Your Game, Baby' by Barry White http://apple.co/PlayingYourGameBaby
'Ya Ya Power' by KingupingU http://apple.co/YaYaPower
'Bring The Drums Back' by Noisy http://apple.co/BringTheDrumsBack
'Wave' by Whethan http://apple.co/Wave
'Back It Up' by Alison Wonderland X AWE http://apple.co/BackItUp
'Show Me How' by Beacon 
'Alright With Me' by Memba & Ricky James http://apple.co/AlrightWithMe",12518448,303304,,PT49M
14,9No-FiEInLA,Science & Technology,28,Google,Google interns' first week,2013-06-04T20:44:50Z,"Students who join Google in internships or in full-time roles work on interesting, meaningful projects and are expected to have an impact from the start. Meet five recent summer interns and hear their thoughts on what it means to work at Google.",12470773,127585,8446,PT5M51S
15,hs1HoLs4SD0,Science & Technology,28,Apple,Introducing the new MacBook Air — Apple,2018-10-30T14:21:50Z,"The new MacBook Air brings many of our most advanced technologies to this iconic design for the first time — including a brilliant Retina display, Touch ID, a powerful eighth-generation Intel Core i5 processor, the latest-generation butterfly keyboard, and the Apple T2 Security Chip. And with an enclosure made with 100% recycled aluminum, it’s the greenest Mac ever.

Learn more at https://apple.co/2OhVx9f",11697523,187262,,PT2M29S
16,SGo1i4BEBL4,Science & Technology,28,Apple India,Introducing Apple Watch Series 4 — Apple,2018-09-14T07:13:16Z,"The largest Apple Watch display yet. A new electrical heart sensor. A Digital Crown with haptic feedback. New workouts. Advanced running features. And enhanced cellular connectivity. Introducing Apple Watch Series 4. Fundamentally redesigned and re-engineered to help you stay even more active, healthy and connected. 

Learn  more at https://www.apple.com/in/apple-watch-series-4/design/",11664993,56446,,PT2M44S
17,q5D55G7Ejs8,Science & Technology,28,Apple,WWDC 2022 - June 6 | Apple,2022-06-06T19:06:16Z,"Watch the WWDC22 Apple Keynote announcing the latest software, hardware, services, and operating systems.

To watch the event interpreted in American Sign Language (ASL), please click here: https://apple.co/38T45DA

For more on the Apple Worldwide Developers Conference click here: https://apple.co/3xmb5SN

Audio Descriptions: https://apple.co/3RjwrsE

00:00:00 Introduction 
00:03:30 iOS 
00:33:43 Ecosystem 
00:42:24 watchOS 
00:49:25 Health 
00:54:49 Mac 
01:10:15 macOS 
01:29:35 iPadOS 
01:45:00 Outro 

'Behind The Sun' - ODESZA http://apple.co/OdeszaWWDC
'Stop! (Sacred Set Remix)' - Diem & Michael ‘Mikey J’ Asante
'Out of Ordinary' - Oliver Tree http://apple.co/OliverTreeWWDC
'she's all i wanna be' - Tate McRae http://apple.co/TateMcraeWWDC
'Abla Deme Lazim Olur' - Lalalar http://apple.co/LalalarWWDC
'How We Do' - Nayana IZ http://apple.co/NayanaIZWWDC
'Peuple Pollock' - Train fou http://apple.co/TrainFouWWDC
'Auto' - Wave Racer http://apple.co/WaveRacerWWDC
'La Perla' - Sofia Kourtesis http://apple.co/SofiaKourtesisWWDC
'Midas' - Harvey Causon http://apple.co/HarveyCausonWWDC
'The Last Goodbye (feat. Bettye LaVette)' - ODESZA  http://apple.co/TheLastGoodByeWWDC
'Romance With a Memory' - Oliver Sim http://apple.co/OliverSimWWDC
'Plum ft. Sega Bodega (produced by Baauer)' - Omega Sapien http://apple.co/OmegaSapienWWDC
'Ram Ram' - Ilaiyaraaja & Kirk Spencer http://apple.co/RamRamWWDC
'Village of the Shadows' - Capcom Sound Team http://apple.co/VillageoftheShadowsWWDC
'Protection from Evil' - Ibibio Sound Machine http://apple.co/ProtectionfromEvilWWDC

#AppleEvent #WWDC22 #AppleKeynote

Welcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Apple’s more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.",11575963,275838,,PT1H48M53S
18,CMdHDHEuOUE,Science & Technology,28,Google,Google and NASA's Quantum Artificial Intelligence Lab,2013-10-11T16:14:40Z,"A peek at the early days of the Quantum AI Lab: a partnership between NASA, Google, USRA, and a 512-qubit D-Wave Two quantum computer. Learn more at http://google.com/+QuantumAILab",10808556,164659,12760,PT6M29S
19,HvKpnaXYUPU,Science & Technology,28,NOVA PBS Official,Arctic Sinkholes I Full Documentary I NOVA I PBS,2022-02-03T02:00:11Z,"Official Website: https://to.pbs.org/3AOUzLz

In the Arctic, enormous releases of methane, a potent greenhouse gas, threaten the climate.

Colossal explosions shake a remote corner of the Siberian tundra, leaving behind massive craters. In Alaska, a huge lake erupts with bubbles of inflammable gas. Scientists are discovering that these mystifying phenomena add up to a ticking time bomb, as long-frozen permafrost melts and releases vast amounts of methane, a potent greenhouse gas. What are the implications of these dramatic developments in the Arctic? Scientists and local communities alike are struggling to grasp the scale of the methane threat and what it means for our climate future.

Chapters
00:00 Introduction
02:22 Giant Sinkhole in Siberia
05:54 Evidence of Methane in Craters 
09:02 Alaskan Lake Bubbling
14:47 Effects of Permafrost Thaw on Climate 
17:26 Native Alaskan Solutions to Permafrost
21:37 Organic Matter Impacted by Permafrost
24:44 Greenhouse Gasses Emitted from Permafrost Thaw
33:37 Fossil Methane in Earth’s Crust
42:19 Tipping Point: Arctic Regions are Sinking
47:47 How Communities are Finding Solutions
50:15 Conclusion

(Premieres Wednesday, February 2 at 9PM ET on PBS.)

© 2022 WGBH Educational Foundation

All rights reserved

This program was produced by GBH, which is solely responsible for its content. Some funders of NOVA also fund basic science research. Experts featured in this film may have received support from funders of this program. Funding for NOVA is provided by Brilliant.org, the David H. Koch Fund for Science, the NOVA Science Trust, the Corporation for Public Broadcasting, and PBS viewers.

This program is made possible by viewers like you. Support your local PBS station here: https://pbs.org/donate/

Enjoy full episodes of your favorite PBS shows anytime, anywhere with the free PBS Video app: https://to.pbs.org/2QbtzhR

Stay up to date on the latest science discoveries, full episodes, articles, videos, and more by signing up for NOVA's newsletter here: https://www.pbs.org/wgbh/nova/newslet...

FOLLOW US: 

NOVA 
YouTube: https://www.youtube.com/novaonline 
Facebook: https://www.facebook.com/NOVApbs  ​
Twitter: https://twitter.com/novapbs ​
Instagram: https://www.instagram.com/novapbs/ 

PBS 
Facebook: https://www.facebook.com/PBS/ 
Twitter: https://twitter.com/PBS/ 
Instagram: https://www.instagram.com/PBS/ 

Shop: https://shop.pbs.org/",10151939,92057,12701,PT53M28S
