,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,ZJlQx9Yn53w,Shorts,42,高手在民间,打倒多少拿多少，这样的公司你敢来吗？#办公室游戏 @爆笑办公室,2022-06-03T09:48:00Z,#shorts,19485167,617746,252,PT51S
1,Y1tAz1r6kjA,Shorts,42,周某人,原来你是这样办事的。#周公谨 @覃豪,2022-04-01T09:06:01Z,原来你是这样办事的。#周公谨 @覃豪,3976808,65031,412,PT50S
2,FTXpivAC9aY,Shorts,42,周某人,你们这帮人干点正事不好吗#周公谨 @覃豪,2022-03-22T09:02:00Z,你们这帮人干点正事不好吗#周公谨 @覃豪,3271334,100552,450,PT22S
3,bO_TQNtVEMk,Shorts,42,高手在民间,跳远赢奖金，这样的公司你想来吗#办公室游戏 @爆笑办公室,2022-06-04T09:13:00Z,#shorts,2486599,69930,60,PT34S
4,mK7l4qQ9j5c,Shorts,42,周某人,小兄弟 你这亏大发了呀#周公谨,2022-04-04T09:53:00Z,小兄弟 你这亏大发了呀#周公谨,1950460,38161,477,PT41S
5,yxouloLpMwA,Shorts,42,周某人,你这岳父的小名还挺别致 #周公谨 @小鞋生教父 #幺二八的秘密,2022-02-01T09:57:00Z,你这岳父的小名还挺别致 #周公谨 @小鞋生教父 #幺二八的秘密,1418878,71296,253,PT56S
6,Y_m2W5nrgUc,Shorts,42,周某人,自从发了抖音，我在街上要饭大家都开始绕着走，为什么嘛！#周公谨 @小鞋生教父,2022-02-02T09:42:00Z,自从发了抖音，我在街上要饭大家都开始绕着走，为什么嘛！#周公谨 @小鞋生教父,1291716,61662,119,PT30S
7,yoyXAEIFUYY,Shorts,42,这是办公室,如果有办公室摸鱼大赛，你会是第几名？#上班摸鱼必备 #办公室搞笑 #公司日常 @抖音小助手 @DOU+小助手,2022-07-21T09:46:00Z,如果有办公室摸鱼大赛，你会是第几名？#上班摸鱼必备 #办公室搞笑 #公司日常 @抖音小助手 @DOU+小助手,1203152,47978,132,PT1M
8,HZnL5aPn9w8,Shorts,42,周某人,不好意思，这回让我给装到了！#周公谨 @小鞋生教父 @安妮娜 @秦半仙,2022-02-09T09:28:00Z,不好意思，这回让我给装到了！#周公谨 @小鞋生教父 @安妮娜 @秦半仙,1109354,63084,207,PT57S
9,WhHIfsf_Hv0,Shorts,42,周某人,你以为我在第一层 其实我在大气层#周公谨 @小鞋生教父,2022-03-22T09:02:00Z,你以为我在第一层 其实我在大气层#周公谨 @小鞋生教父,1070467,40422,228,PT59S
10,6pTzle2rRk4,Shorts,42,周某人,这辈分一下子就不对劲了呀#周公谨,2022-03-31T09:48:00Z,这辈分一下子就不对劲了呀#周公谨,846397,37802,159,PT45S
11,r0TDKy56HvM,Shorts,42,周某人,小兄弟 你还是太年轻呀#周公谨 @搞运动的丁教练,2022-01-31T09:07:00Z,小兄弟 你还是太年轻呀#周公谨 @搞运动的丁教练,819540,53882,195,PT57S
12,Af-g4D9JMew,Shorts,42,尼大木,#动画  你知道熊出没的未解之谜吗？,2022-05-20T09:53:00Z,#动画  你知道熊出没的未解之谜吗？,776199,41225,241,PT56S
13,gZjMy1xoaSo,Shorts,42,Mominion,悬疑推理：可怕的僵尸村！僵尸竟会伪装成路人，趁人不备袭击！,2022-04-14T09:33:00Z,悬疑推理：可怕的僵尸村！僵尸竟会伪装成路人，趁人不备袭击！,738519,16900,356,PT30S
14,9RnhamFRfBc,Shorts,42,麦晓花,这位坏女孩真的是你们看的那样吗？#动画 #反转 #感动,2022-01-05T09:23:00Z,这位坏女孩真的是你们看的那样吗？#动画 #反转 #感动,678229,47019,2699,PT52S
15,077-EOD_Y8I,Shorts,42,Thương Huyền Lều,托了张麻子的福，王二柱真实身份暴露了...... #轻漫计划  #反转  #迷惑行为大赏  #充能计划,2022-04-11T10:54:00Z,托了张麻子的福，王二柱真实身份暴露了...... #轻漫计划  #反转  #迷惑行为大赏  #充能计划,655697,43637,159,PT56S
16,gl_qBqv13TU,Shorts,42,尼大木,#游戏 你知道这个主播是谁吗？,2022-05-22T09:05:01Z,#游戏 你知道这个主播是谁吗？,613044,15541,405,PT53S
17,1hydU7luor4,Shorts,42,周某人,一个小小的手部动作，让同学对你蜂拥而至。#周公谨 @李松莹 @小鞋生教父 @秦半仙,2022-02-06T09:24:01Z,一个小小的手部动作，让同学对你蜂拥而至。#周公谨 @李松莹 @小鞋生教父 @秦半仙,606645,35139,178,PT41S
18,BT_SUoxQF-Y,Shorts,42,周某人,这公司的福利还不错吧？#周公谨,2022-04-03T09:35:01Z,这公司的福利还不错吧？#周公谨,602820,36375,108,PT51S
19,XpEJ9DAFDdo,Shorts,42,周某人,破产又没完全破产#周公谨 @小鞋生教父  #你好有范儿,2022-02-13T09:50:01Z,破产又没完全破产#周公谨 @小鞋生教父  #你好有范儿,582641,27121,81,PT31S
20,HCW6kmuJlQE,Shorts,42,周某人,虚伪的笑容也是笑容#周公谨 @小鞋生教父 @安妮娜  #你好有范儿,2022-02-12T09:29:00Z,虚伪的笑容也是笑容#周公谨 @小鞋生教父 @安妮娜  #你好有范儿,580024,21940,103,PT31S
21,j0uVV7UCUpY,Shorts,42,周某人,有趣的事情又发生了！#周公谨 @小鞋生教父 @秦半仙,2022-03-11T09:29:00Z,有趣的事情又发生了！#周公谨 @小鞋生教父 @秦半仙,570040,26018,85,PT36S
22,a7IUfGaV6eQ,Shorts,42,山菜同学,上期答案：棺材上全是指甲印，埋葬的时候山哥还没断气！,2022-03-06T09:08:00Z,上期答案：棺材上全是指甲印，埋葬的时候山哥还没断气！,557192,18713,652,PT23S
23,8e9Bu4By57U,Shorts,42,周某人,这波格局到位了#周公谨 @仓鼠 @小鞋生教父,2022-03-08T09:43:00Z,这波格局到位了#周公谨 @仓鼠 @小鞋生教父,548385,25246,91,PT43S
24,sHvEVDAcjGo,Shorts,42,周某人,没想到我既然也被出卖了!#周公谨 @小鞋生教父 @一个善良的渣男丶,2022-01-31T09:13:00Z,没想到我既然也被出卖了!#周公谨 @小鞋生教父 @一个善良的渣男丶,543810,32946,95,PT53S
25,PW4iAe1eySM,Shorts,42,山菜同学,上期答案 -小樱每天熬夜备考，变成了长不出头发的体质!,2022-02-09T09:08:00Z,上期答案 -小樱每天熬夜备考，变成了长不出头发的体质!,542584,23819,327,PT21S
