,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,QfQzUb7twZI,Shows,43,YouTube Movies,Baby Einstein Classics: Animals Around Me,2023-05-18T20:39:34Z,"Set off on a fun-filled ""field trip"" with your baby to discover animals found at the park, on the farm, and in your own backyard.",,924,0,PT24M32S
1,33sWQpPCFZU,Shows,43,YouTube Movies,Baby Dolittle: Neighborhood Animals,2023-05-18T20:39:35Z,"As babies continue to explore the world around them, they soon encounter many creatures, both large and small, that are extremely intriguing. Whether furry or feathered, winged or wiggly, bumpy or smooth, each holds a special fascination. Neighborhood Animals exposes little ones to animals most likely to be found close to home or in easily recognized environments.",,289,0,PT28M12S
2,NVzkB2nzWjY,Shows,43,YouTube Movies,Baby Dolittle: World Animals,2023-05-18T20:39:41Z,"As each day passes, babies' awareness of the world around them -- and all the wonders it holds -- continues to develop. Wild animals are especially intriguing and World Animals captures the spirit of little ones' fascination with wild creatures as it introduces them to animals living in the jungle, in the ocean, and on the savannah.",,317,0,PT24M1S
3,eCMsIIeKBm0,Shows,43,YouTube Movies,Baby MacDonald: A Day On the Farm,2023-05-18T20:39:36Z,"As little ones' curiosity about the world blossoms, you can help sow the seeds of discovery with Baby MacDonald: A Day on the Farm. Featuring live-action images, nursery rhymes and fun-filled puppet shows, this playful, interactive program introduces little ones to the exciting sights and sounds of a real working farm.",,232,0,PT27M42S
4,bpIb0F8pcjs,Shows,43,YouTube Movies,Baby Noah: Animal Expedition,2023-05-18T20:39:38Z,"As little ones become better acquainted with the world, they grow curious about animals of all kinds, beyond just the family pet. And as their communication skills continue to develop, they enjoy imitating animal sounds as well. Baby Noah™ Animal Expedition takes your little explorer across the globe to meet animals -- two-by-two -- from the savannah, the rainforest and tropics, the Outback, the ocean and the Polar Regions.",,234,0,PT34M14S
5,fdUGqB0MQc8,Shows,43,YouTube Movies,Meet the Orchestra: First Instruments,2023-05-18T21:22:56Z,"At 12 months, babies can identify specific sounds, and they re also starting to match the sounds they hear with the objects that make them. Meet the Orchestra™ -- First Instruments presents your little ""maestro"" with a playful introduction to the sights and sounds of a real orchestra -- from the clashing of cymbals to the purring of the cello and everything in between!",,351,0,PT37M54S
6,M0O_ysfhQdc,Shows,43,YouTube Movies,Wild Animal Safari,2023-05-18T20:39:45Z,"Take your little explorer on an exotic musical expedition to meet wild animals from across the globe. Journey to the jungle, savannah, desert and forest.",,143,0,PT24M9S
7,A5gZ6RQ2ugM,Shows,43,YouTube Movies,World Animal Adventure,2023-05-18T20:39:30Z,"Babies love animals, and now you can bring animals from the seven continents home to your baby. Meet dozens of exotic animals including Asian pandas, Australian kangaroos and Arctic snow monkeys...all filmed in their beautiful, natural habitats. Rhythms and songs inspired by faraway lands have been orchestrated especially for little ears and encourage your baby to sing, dance and play to the world beats. You'll laugh together at the funny puppet shows featuring moms and their baby animals. It's an exciting world for you and your baby to discover together!",,157,0,PT27M56S
8,P6Rjwow_wfs,Shows,43,YouTube Movies,Baby's Favorite Places: First Words Around Town,2023-05-18T21:22:55Z,"As babies turn one year old, they continue to develop their communication skills. Meanwhile, with you as their guide, they also begin to explore the world beyond their front door. Baby's Favorite Places presents them with a playful introduction to 20 words for the names of familiar locations from the market, to the library, to the local park.",,150,0,PT31M27S
9,3ECWGP16q18,Shows,43,YouTube Movies,Baby Mozart: Music Festival,2023-05-18T21:22:58Z,"Baby Mozart™ is an introduction to Mozart's beautiful music, which has been proven to have positive affects on people of all ages, especially babies. Images of brightly colored toys and known objects aid in the audio presentation of child-friendly arrangements and sound effects.",,387,0,PT25M40S
10,pyxtiHV2u_E,Shows,43,YouTube Movies,Baby Bach: Musical Adventure,2023-05-18T21:22:56Z,"Every stage is an exciting adventure with your newborn. As babies grow, they absorb a wide variety of sights and sounds. And with so much to see and hear, infants seem to enjoy, and be most soothed by, gentle sounds such as your voice or pleasant, restful music. Treat your child -- and yourself -- to the delights of Baby Bach™ Musical Adventure, an award-winning program that exposes babies to the joy and majesty of classical music while presenting them with stimulating, colorful images.",,134,0,PT26M43S
11,TgUuS9ynLy4,Shows,43,YouTube Movies,Baby Shakespeare: World of Poetry,2023-05-18T22:45:20Z,"Baby's innate curiosity about all they see and hear increases on a daily basis. Before long, they begin to associate words with objects and to imitate and articulate sounds. Why not give their eyes and ears something wonderful to feast upon? Baby Shakespeare™ presents little ones with 12 common words that can be found within the rich context of classic poems and the beauty of nature. By combining the poetry with engaging puppet shows, funny sound effects, colorful, stimulating images and the glorious music of Ludwig van Beethoven, this exciting introduction to language provides countless opportunities for you and your baby to interact as you explore the wonderous world together!",,104,0,PT26M12S
12,cB5SPypWCjc,Shows,43,YouTube Movies,Baby Einstein: Language Nursery,2023-05-18T22:45:24Z,"From the moment babies are born, they use their developing senses to discover the world. In terms of sight, bold patterns in contrasting colors or black and white are initially preferred. As for sounds, Mother s gentle voice, in any language, is music to baby's ears. Language Nursery: Voices From Many Lands acquaints your baby with the sounds of foreign language by presenting delightful, visually stimulating images accompanied by spoken passages, natural sounds and music.",,91,0,PT26M24S
13,vhSlfuBAHW4,Shows,43,YouTube Movies,Baby Galileo: Discovering the Sky,2023-05-18T22:45:10Z,"As little ones grow, their innate sense of wonder grows too, creating an occasion for celebration with each new discovery. Baby Galileo™ Discovering the Sky introduces them to that remarkable canopy above us: the sun and moon, fluffy clouds, shimmering stars, colorful planets and whirling galaxies.",,81,0,PT26M54S
