,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,-nMOJZhLm2k,Sports,17,Great Big Story,"Dancing Without Sound, Performing Without Sight",2018-01-23T07:00:00Z,"Founded in 1987, the China Disabled People’s Performing Arts Troupe enact some of the most enchanting and intricately choreographed dances, plays and operas you will ever experience. Without hearing, dancers use sound vibrations to interpret the beat; without sight, musicians use breathing patterns to keep pace. Together, they perform the “Thousand-hand Bodhisattva,” one of the most challenging pieces for the troupe to learn. Today, they’ve taken their talents around the world, performing in over 100 countries.

SUBSCRIBE: https://goo.gl/vR6Acb

This story is a part of our Human Condition series. Come along and let us connect you to some of the most peculiar, stirring, extraordinary, and distinctive people in the world.

Got a story idea for us? Shoot us an email at hey [at] GreatBigStory [dot] com

Follow us behind the scenes on Instagram: http://goo.gl/2KABeX
Make our acquaintance on Facebook: http://goo.gl/Vn0XIZ
Give us a shout on Twitter: http://goo.gl/sY1GLY
Come hang with us on Vimeo: http://goo.gl/T0OzjV
Visit our world directly: http://www.greatbigstory.com",14798687,174315,3654,PT3M20S
1,LgPTY4gB9co,Sports,17,Mss. Lera,#спорт #мотивация #экстрим #цели #flyboard #следуйзамной,2023-06-10T04:06:32Z,,9132447,194251,3495,PT11S
2,ppDujzOu0Qs,Sports,17,Score 90,Smart & Creative Moments,2020-07-29T13:28:27Z,"Follow us!
• Instagram - https://instagram.com/score90.tv
• TikTok - https://tiktok.com/@score90

Score 90 is a Swedish football brand, founded by Filip Hennig in 2017. We produce some of the most entertaining content on YouTube and various other social media platforms. Feel free to contact us: info@score90.org

© Score 90",8214184,98632,836,PT9M19S
3,P2pwC5wc21o,Sports,17,Great Big Story,The Boy Who Broke the March Madness Bracket,2016-03-17T15:20:39Z,"The probability of completing a perfect NCAA tournament bracket is less than the combined odds of landing a hole-in-one, winning the Powerball and being struck by lightning multiple times. So how did Sam Holtz, the 2015 winner of ESPN's March Madness Bracket Challenge, beat out almost 12 million other entries and score a near-perfect bracket? For one: he didn’t watch any college basketball before the tournament. A Great Big Story told with our friends at Bleacher Report.

Coverage continues on TNT, TBS, Trutv, CBS and March Madness Live: http://www.ncaa.com/march-madness-live

SUBSCRIBE: https://goo.gl/vR6Acb

Follow us behind the scenes on Instagram: http://goo.gl/2KABeX
Make our acquaintance on Facebook: http://goo.gl/Vn0XIZ
Give us a shout on Twitter: http://goo.gl/sY1GLY
Come hang with us on Vimeo: http://goo.gl/T0OzjV
Visit our world directly: http://www.greatbigstory.com

Great Big Story is a video network dedicated to the untold, overlooked & flat-out amazing. Humans are capable of incredible things & we're here to tell their stories. When a rocket lands in your backyard, you get in.",7909310,71688,2145,PT2M10S
4,gorclbN14pY,Sports,17,Markus Marthaler,Can you swim 50 meter freestyle on lcm faster? #swimming #shorts,2023-06-18T07:40:18Z,"Here we go again:

50 meter freestyle swimming sprint 🏊‍♂️ !

Can you do it faster?


#ironmantri #worldoftri #markusmarthaler  #swimmingtraining #swimmingaddict #swimming #schwimmen #swimsession #swimspiration #swimvenue #swimminggoals #swimmer #swimstrong #speedousa #speedousaambassador#swimmingcompetition #swimminglife #shortsmitmarietta",6001770,154220,784,PT30S
5,CvY7y-yhCsQ,Sports,17,SPYPOINT TRAIL CAMERAS,Dual-SIM Auto Connectivity :15 Second | FLEX | SPYPOINT,2022-05-31T16:14:45Z,"When SPYPOINT says the new FLEX camera is a dual-sim trail camera, it means that two sim cards are preactivated and preinstalled in the camera. Because SPYPOINT is activating and installing both sim cards before it arrives to the hunter, setup and use is made much easier. The camera has access to both sim cards without the hunter having to do anything.

When the camera is turned on, it checks one of the cards for network connectivity. If a usable network signal is found, then it stops right there. It’s done, and it will use that network to send photos and videos to the SPYPOINT app. If the first sim checked doesn’t return a quality network connection, then it will move on to the second sim card, and scan that network for a reliable signal.

With both sim cards being installed, there’s another major benefit. Should something happen to the network quality the camera selected, the FLEX will automatically check the other sim card to see if performance can be improved by switching to the other card. The camera is doing this automatically. You don’t have to do anything except sit back and let the FLEX do its thing.

Don't forget to like and share the video!
If you want to be sure not to miss a new video, subscribe and tap the bell icon next to the subscribed button.

You can follow us on:
Facebook: https://www.facebook.com/spypoint/
Instagram: https://instagram.com/spypointcamera/
Twitter: https://twitter.com/spypointcamera
Website: https://www.spypoint.com/EN/",3355671,9,4,PT16S
6,oWPd9G2HnsQ,Sports,17,FORMULA 1,Qualifying Highlights | 2023 Hungarian Grand Prix,2023-07-22T15:44:41Z,"All the action from a dramatic qualifying session in Hungary. 

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #Hungarian GP",3115686,85165,5104,PT7M8S
7,affCA4a8Cv0,Sports,17,Olympics,The Maths Teacher Who Ran the Rio 2016 Olympic Marathon | Day Jobs,2017-12-10T17:00:01Z,"📲 Subscribe to @olympics: http://oly.ch/Subscribe 

 American marathon runner Jared Ward has made two worlds collide with his statistical brain and passion for teaching helping fulfil his Olympic goals at the Rio 2016 Olympics.

Discover how behind the glitz and glamour of the Games, many world-class athletes must work around the clock to fund their Olympic dream.

 
_____________________________________________________
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays 
🗞️ News from the Olympic world: https://oly.ch/News",2882606,4901,175,PT8M14S
8,eeVE0eoUF54,Sports,17,Bangladesh Cricket : The Tigers,Bangladesh Women vs India Women | 3rd ODI Match,2023-07-22T12:57:41Z,"India Women’s Tour of Bangladesh 2023
Bangladesh Women vs India Women | 3rd ODI Match

WARNING: Unauthorized reproduction of this video is strictly prohibited. All rights reserved. Piracy is illegal and will result in criminal prosecution. Please support the creators by only sharing and viewing original content from authorized sources.

Bangladesh Cricket Board (BCB) is the governing body of cricket in Bangladesh and is recognized under the National Sports Council (NSC) Act 1974, having its Head Office in Sher-e- Bangla National Cricket Stadium, Dhaka 1216, Bangladesh.

The Bangladesh national cricket team, known as The Tigers, is the national cricket team representing Bangladesh. The team is administered by the Bangladesh Cricket Board (BCB).

Our website and social media links :
Website : www.tigercricket.com.bd
YouTube: https://www.youtube.com/c/BangladeshCricketTheTigersOfficial
Facebook : https://www.facebook.com/bcbtigercricket
Twitter : https://twitter.com/BCBtigers
Instagram : https://www.instagram.com/bangladeshtigers

#BCB | #Cricket | #BANWvINDW",2540364,29723,,PT9H11M30S
9,CKbT4e_C0WA,Sports,17,REBOUND,NBA Players CAUGHT Shooting Their Shot,2020-05-18T21:33:54Z,"In today's Rebound Central video, we take an in-depth look at some NBA players who have taken their benefits of being a professional athlete too far and have been caught red handing shooting their shot...

#KobeBryant  #JoelEmbiid  #LeBronJames

If you enjoyed this video, watch more here: https://youtu.be/JwEozeGzzt8
SUBSCRIBE & CLICK THE BELL!

Background Music: https://www.youtube.com/user/jethalebeats",2238243,14276,475,PT8M5S
