,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,"Manga ""Bakemonogatari"" Shaft Seisaku Tokubetsu PV",1,Finished Airing,Psychological,Unknown,"Supernatural,",ONA,5,#9530,#3001,7.21,"3,009",Promotional video coinciding with the release of the 16th Bakemonogatari manga volume.,"Feb 16, 2022",3 min.,Unknown,Shaft
1,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki,1,Finished Airing,Isekai,Unknown,"Comedy,Fantasy,",OVA,54,#2167,#3002,7.21,"84,239","Izayoi, Asuka, and You have been invited to participate in a Gift-Game at a hot spring village to help the small community there find a new water source.

OVA bundled with the eighth volume of the light novel.","Jul 20, 2013",23 min.,Unknown,Diomedéa
2,Moyashimon Returns,11,Finished Airing,School,Seinen,"Comedy,Gourmet,Supernatural,",TV,17,#4189,#3003,7.21,"24,871","In the second season the story continues exactly where it left off previously. Professor Itsuki's Fermentation Cellar and laboratory is ready for operation and with Sawaki Tadayasu's unique gift to see and communicate with microbes to help, Itsuki's motley group of students begin to process different fermented products like soy sauce and sake.

(Source: ANN)","Jul 6, 2012 to Sep 14, 2012",23 min. per ep.,Summer 2012,"Telecom Animation Film,       Shirogumi"
3,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,1,Finished Airing,Unknown,Shounen,"Action,Adventure,Fantasy,",Special,19,#3731,#3004,7.21,"31,672","The story opens on Pirate Zap's ship, where two of his crew, Bonnie and Max, are tired and want to escape, but unfortunately they have no money. Three children were being held captive on the ship overhear them. The eldest, Amanda, who's father was a pro treasure hunter, knows the whereabouts of a great treasure, and offers them a deal. If they help them make a clean escape, they could take all the treasure they wanted. They agree, and the five of them barely escape and make it onto a small island where they meet Luffy and his crew. Unfortunately they were pursued and Luffy and Amanda are captured and brought back to their boss, the head of the Bayan Pirates, who is also after the treasure. Now Luffy and the others must battle the Bayan pirates and find the treasure that Amanda's father had left for his children. Amanda, who has always resented adventure and treasure because her father was constantly gone in search for it, finally understands his feelings. 

(Source: ANN)","Apr 6, 2003",46 min.,Unknown,Toei Animation
4,Pokemon (2019): Harukanaru Aoi Sora,1,Finished Airing,Unknown,Kids,"Action,Adventure,Comedy,Fantasy,",Special,7,#7849,#3005,7.21,"5,350","A one-episode story depicting the encounter between the mysterious boy Haruto and Satoshi.

(Source: Translated from official Twitter account)","Dec 23, 2022",24 min.,Unknown,OLM
5,Saiyuuki Reload Blast,12,Finished Airing,Mythology,Josei,"Action,Adventure,Comedy,Drama,Supernatural,",TV,102,#3334,#3006,7.21,"39,749","At last, the Sanzou Party has arrived in India. In this foreign land, where the anomaly's influence runs rampant, their battles only heighten in their violence.

And also awaiting them is their tragic fate from 500 years ago—

What will they find at the end of their long and treacherous journey?","Jul 5, 2017 to Sep 20, 2017",23 min. per ep.,Summer 2017,Platinum Vision
6,Sankarea: Wagahai mo... Zombie de Aru...,1,Finished Airing,Unknown,Shounen,"Comedy,Horror,Romance,Supernatural,Ecchi,",Special,41,#2163,#3007,7.21,"84,446","Extra episode included on BD/DVD vol. 6; effectively episode 13. 

Despite their decaying bodies, Rea’s zombie power comes in handy both at school and at home, and Babu gets interested in another cat—although this particular feline is one of the living.

(Source: FUNimation)","Nov 30, 2012",24 min.,Unknown,Studio Deen
7,Soukou Kihei Votoms: Pailsen Files,12,Finished Airing,Unknown,Unknown,"Sci-Fi,",OVA,9,#8012,#3008,7.21,"5,075","OVA release from anime series ""Armored Trooper Votoms"" utilizing the latest in 3D CG animation. Created by the original staff of the series, with an all new story about the end of the 100 year war.","Oct 26, 2007 to Aug 25, 2008",25 min. per ep.,Unknown,The Answer Studio
8,Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,1,Finished Airing,Unknown,Unknown,"Comedy,",Special,171,#1942,#3009,7.21,"100,422","With Valentine's Day just around the corner, the girls of the Future Gadget Lab discover that Kagari has never celebrated the occasion before! Determined to make this year's holiday the best one yet, they all set out to make delicious homemade chocolates together.

However, with many of their quirks causing kitchen disasters, this may prove to be too hard a task. Will their feelings ever reach those of their heart's desire?

[Written by MAL Rewrite]","Dec 21, 2018",23 min.,Unknown,White Fox
9,Suki na Ko ga Megane wo Wasureta,13,Currently Airing,Unknown,Shounen,"Comedy,",TV,690,#1854,#3010,7.21,"107,855","As the deskmate of Ai Mie, Kaede Komura always has his attention fixed on her. Attracted by her cute charms, all he wishes for is that she would look at him with those beautiful eyes beneath her glasses. But just a few days after making her acquaintance, Kaede notices something different about Ai: her eyes are squinting and her glasses are missing. Nonetheless, he still finds her adorable!

Unexpectedly, Ai has a tendency to forget her glasses. Having terrible vision, she has difficulty going through her day at school. Thankfully, Kaede is more than willing to help her. As Ai starts relying on him, Kaede's feelings for her grow even more. Likewise, despite her short-sightedness, Kaede slowly becomes the person Ai always hopes to see.

[Written by MAL Rewrite]","Jul 4, 2023 to ?",23 min. per ep.,Summer 2023,GoHands
