,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Megami-chan to Iku! Flag Osaka Office Goannai Tour,1,Finished Airing,Unknown,Unknown,"Comedy,",ONA,0,#21005,#18101,N/A,86,A promotional video for the Osaka office of flag Co.,"May 20, 2022",4 min.,Unknown,flag Co.
1,Megaton-kyuu Musashi Pilot,1,Finished Airing,Mecha,Unknown,"Action,Sci-Fi,",ONA,0,#18689,#18102,N/A,216,Pilot episode of Megaton-kyuu Musashi released on YouTube in 2016.,"Jul 27, 2016",13 min.,Unknown,OLM
2,Megido 72: Nagaki Sen Tabi no Katawara de,5,Finished Airing,Unknown,Unknown,"Action,Adventure,Fantasy,",ONA,0,#17792,#18103,N/A,270,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 27, 2019 to Aug 23, 2019",4 min. per ep.,Unknown,V-sign
3,Mei Chuxi de Yinyangshi Yijia 2,12,Finished Airing,Unknown,Unknown,"Comedy,fe,Supernatural,",ONA,2,#12878,#18104,N/A,948,Second season of Mei Chuxi de Yinyangshi Yijia.,"Jul 15, 2020 to Sep 30, 2020",5 min. per ep.,Unknown,Green Monster Team
4,Mei Chuxi De Yinyangshi Yijia 3,12,Finished Airing,Unknown,Unknown,"Comedy,fe,Supernatural,",ONA,0,#17921,#18105,N/A,263,The third season of Meichuxi De Yinyangshi Yijia.,"Sep 30, 2021 to Dec 10, 2021",5 min. per ep.,Unknown,"None found, add some"
5,Mei Hou Wang,12,Finished Airing,Unknown,Kids,"Fantasy,",TV,0,#23558,#18106,N/A,44,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1995 to ?,14 min. per ep.,?,"None found, add some"
6,Mei Hou Wang (2010),52,Finished Airing,Unknown,Kids,"Adventure,Fantasy,",TV,0,#21338,#18107,N/A,77,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jan 25, 2010 to ?",22 min. per ep.,?,"None found, add some"
7,Mei Li De Xiao Jin Yu,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21568,#18108,N/A,72,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1958,20 min.,Unknown,"None found, add some"
8,Mei Shaonu Da Picha,12,Finished Airing,Adult Cast,Unknown,"Comedy,",ONA,0,#22618,#18109,N/A,55,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jun 23, 2016 to ?",5 min. per ep.,Unknown,"None found, add some"
9,Mei Shaonu Da Picha 2nd Season,13,Finished Airing,Adult Cast,Unknown,"Comedy,",ONA,0,#23559,#18110,N/A,44,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,4 min. per ep.,Unknown,"None found, add some"
10,Mei Ya De Laohu,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21722,#18111,N/A,70,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1985,17 min.,Unknown,Shanghai Animation Film Studio
11,Meide Huayuan,98,Finished Airing,Anthropomorphic,Kids,"Fantasy,",ONA,0,#24362,#18112,N/A,38,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,15 min. per ep.,Unknown,"None found, add some"
12,Meiji Ishin wo Tsukuriageta Hitobito,1,Finished Airing,Unknown,Kids,"Drama,",OVA,0,#19109,#18113,N/A,193,An educational film about Yukichi Fukuzawa who helped head the Meiji Restoration after Japan's 200 year isolation.,2004,22 min.,Unknown,"None found, add some"
13,Meijian Chi,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#22005,#18114,N/A,65,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1991,27 min.,Unknown,Shanghai Animation Film Studio
14,Meiken Lassie Specials,2,Finished Airing,Pets,Unknown,"Adventure,fe,",Special,0,#16615,#18115,N/A,354,A summary of the Meiken Lassie full series aired as a TV specials. ,Jul 2001,45 min. per ep.,Unknown,Nippon Animation
15,Meiken Lassie: Yume ni Mukatte Hashire!,1,Finished Airing,Pets,Kids,"Adventure,fe,",Special,0,#16397,#18116,N/A,370,The unaired episode 26 of Meiken Lassie.,"Feb 25, 1997",23 min.,Unknown,Nippon Animation
