,type,title,chapters,status,genres,favorites,popularity,rank,score,members,synopsis,volumns,authors,publish_time
1,manhwa,Solo Leveling,201,Finished,"Action,Adventure,Fantasy","40,014",#7,#56,8.68,"431,289","Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills. 

However, this miserable lifestyle changes when Jin-Woo—believing himself to be the only one left to die in a mission gone terribly wrong—awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters. 

[Written by MAL Rewrite]",Unknown,"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)","Mar  4, 2018 to May  31, 2023"
2,manhwa,The Horizon,21,Finished,"Adventure,Drama","4,047",#187,#58,8.67,"75,806","In a world ravaged by war, a young boy walks down a lonely road in the aftermath of his mother's death. Along his journey, he witnesses military tanks, dead bodies, and his beloved city in ruins. With eyes clouded by anguish, he pushes himself to keep moving forward.

One morning, he meets a girl in an abandoned bus where he spent the night. Moments after their encounter, the area turns into a battlefield, and the pair escapes into a long abandoned lane. The two strangers decide to walk together to the end of the road, thus beginning a companionship that will ignite new hope inside their shriveled hearts.

[Written by MAL Rewrite]",3,"Jeong, Ji-Hoon (Story & Art)","Mar  30, 2016 to Jul  21, 2016"
3,manhwa,Wind Breaker,Unknown,Publishing,"Action,Drama,Sports","2,688",#368,#94,8.58,"42,434","Burdened with expectations since childhood, second-year high schooler Jo ""Jay"" Ja Hyun feels obligated to aim for the top through his studies. Despite obtaining the title of student president at Taeyang High, he continues to study diligently, giving him little time to befriend others. However, possessing an exceptional talent for biking with a technique that astonishes other experienced bikers, there is more to him than meets the eye.

One afternoon, while Jay is skidding his bike at high speed, he catches the interest of his classmate, Yoon Min Woo. Amazed by his unparalleled biking skill, Min Woo is quick to recruit him to his biking crew, but Jay coldly rejects the offer. With a determination to show Jay the fun of riding with others, Min Woo proposes a simple deal—to race against a member of his team, promising to leave him alone if he wins.

[Written by MAL Rewrite]",Unknown,"Jo, Yongseok (Story & Art)","Dec  15, 2013 to ?"
4,manhwa,Bastard,94,Finished,"Drama,Horror,Mystery,Romance","6,455",#84,#140,8.50,"126,088","There is nowhere that Seon Jin can find solace. At school, he is ruthlessly bullied due to his unsettlingly quiet nature and weak appearance. However, this is not the source of Jin's insurmountable terror: the thing that he fears more than anything else is his own father.

To most, Jin's father is a successful businessman, good samaritan, and doting parent. But that is merely a facade; in truth, he is a deranged serial killer—and Jin is his unwilling accomplice. For years, they have been carrying out this ruse with the police being none the wiser. However, when his father takes an interest in the pretty transfer student Yoon Kyun, Jin must make a decision—be the coward who sends her to the gallows like all the rest, or be the bastard of a son who defies his wicked parent.

[Written by MAL Rewrite]",5,"Kim, Carnby (Story), Hwang, Young-chan (Art)","Jul  4, 2014 to May  6, 2016"
5,manhwa,Who Made Me a Princess,125,Finished,"Comedy,Fantasy,Romance","2,648",#349,#175,8.44,"44,428","In the novel The Lovely Princess, the secondary character Athanasia de Alger Obelia is the most pitiful of all. Her mother died in childbirth and her father, Emperor Claude, never gave his daughter even an inch of love. Forever yearning for even the slightest bit of parental love, she was ultimately framed for a crime and executed by the orders of her beloved father.

When a woman from modern-day Korea falls asleep with some sleeping pills, she later awakens in the infant body of Athanasia. Knowing the unenviable fate that awaits her, she resolves to remain out of her tyrannical father's sight so that she may never incur his wrath. However, fate isn't so kind, and she meets him at only five years of age. With her original plan tossed out of the window, she now aims to endear herself so much to her father that he would never dream to hurt her.

However, as many work toward their own ends, her plan is thrown into chaos—Athanasia's biological ""sister"" Jennette Margarita longs for a family, high-ranking nobility vie for power, and a shadow from Claude's past threatens to destroy everything he holds dear.

[Written by MAL Rewrite]",9,"Plutus (Story), Spoon (Art)","Dec  20, 2017 to Apr  30, 2022"
6,manhwa,The Boxer,123,Finished,"Drama,Sports","1,218",#550,#186,8.42,"29,404","Having suffered ruthless bullying for the better part of his life, 17-year-old Yu has become emotionally numb and dissociated from reality, no longer able to act like a normal human being. Although he possesses the exceptional talent to dodge punches, Yu prefers to let his perpetrators beat him down as he finds no meaning in his survival.

Things begin to look up when Yu meets an old boxing trainer nicknamed ""K."" Having raised five champions, K's years of experience and an impressive gut feeling allow him to recognize Yu's near-superhuman fighting charisma immediately. K rushes to take Yu under his wing, despite the latter's apparent lack of interest.

However, after being reminded of a bright memory from the past, Yu has a change of heart and accepts K's offer, hoping to experience the same light once again. Thus, Yu enters a world full of formidable adversaries—righteous and monstrous alike—and for the first time ever, he has no choice but to fight back.

[Written by MAL Rewrite]",Unknown,"Jeong, Ji-Hoon (Story & Art)","Dec  4, 2019 to May  4, 2022"
7,manhwa,The Breaker,72,Finished,"Action,Comedy,Drama","6,188",#76,#202,8.40,"138,540","Yi ""Shioon"" Shi-Woon's everyday life at Nine Dragons High School—which consists of beatings from fellow student Ho Chang and his gang—is far from ideal. But one day, a mysterious man named Han Chun Woo spots one of these beatings and instead of offering support, brands Shioon a coward for refusing to fight back, adding insult to injury. To Shioon's surprise, he finds out that Chun Woo is the new substitute English teacher at his school.

Tired of the daily abuse, Shioon decides to enroll at a martial arts academy to learn how to defend himself. On the way there, he stumbles upon Chun Woo in a predicament—cornered in an alley by a group of angry men! Provoked, Chun Woo suddenly dispatches them using martial arts techniques, which Shioon covertly records. Later, he uses this recording to blackmail Chun Woo into teaching him to defend himself. Reluctantly, Chun Woo agrees, and Shioon is soon thrust into the world of martial arts, known as Murim. However, Shioon is naive and unaware of his master's shady past and the unseen underbelly of society. How will Chun Woo manage to teach Shioon and help him survive in the world of Murim?

[Written by MAL Rewrite]",10,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)","Jun  1, 2007 to Jul  20, 2010"
8,manhwa,Eleceed,Unknown,Publishing,Action,766,#1104,#207,8.40,"15,614","Jiwoo is a kind-hearted young man who harnesses the lightning quick reflexes of a cat to secretly make the world a better place—one saved little child or foster pet at a time. Kayden is a secret agent on the run, who finds himself stuck in the body of a...um...decidedly fat old fluffy cat. Together, armed with Jiwoo's super powers and Kayden's uber-smarts, they're out to fight those forces who would let evil rule this world. That is, if they can stand each other long enough to get the job done.

(Source: Webtoon Entertainment)",Unknown,"Kim, Hye-Jin (Art), Son, Jae-Ho (Story)","Oct  2, 2018 to ?"
9,manhwa,Tower of God,Unknown,Publishing,"Action,Adventure,Drama,Fantasy,Mystery","12,007",#42,#210,8.39,"175,863","Twenty-Fifth Bam had been alone his whole life until he met Rachel. Now, however, Rachel is set on climbing the Tower, and she is willing to leave Bam behind to do so. After Rachel disappears in a veil of light, Bam follows her, vowing to ascend the Tower in hopes of meeting her again.

But the Tower is a dangerous place full of ancient secrets, fearsome monsters, and nefarious humans. Each floor is protected by an Administrator who puts the daring challengers through grueling tests that will push them to their limits.

As he confronts Headon, the Administrator of the first floor, Bam learns that he is an ''Irregular,'' someone who was not chosen by the Tower but was able to enter it on his own, an extremely rare event inside the Tower. Regardless of this revelation, however, his path forward is clear. Be it wealth, power, glory, or even reuniting with Rachel, all desires will be realized at the top of the Tower.

[Written by MAL Rewrite]",Unknown,SIU (Story & Art),"Jul  5, 2010 to ?"
10,manhwa,Omniscient Reader,Unknown,Publishing,"Action,Adventure,Fantasy","4,257",#152,#211,8.39,"87,035","Kim Dokja does not consider himself the protagonist of his own life. Befitting the name his parents gave him, he is a solitary person whose sole hobby is reading web novels. For over a decade, he has lived vicariously through Yoo Joonghyuk, the main character of the web novel Three Ways to Survive the Apocalypse (TWSA). Through Joonghyuk, Dokja has experienced secondhand the trials of repeatedly regressing in time, in search of an end to life-threatening ""scenarios"" that force people to act out narratives for the amusement of god-like ""Constellations.""

After reading 3,149 chapters—long after all other readers lost interest—Dokja finally resigns himself to the story ending. However, he receives an enigmatic message from the author, stating that the story will soon be monetized, before his surroundings suddenly go dark. He swiftly realizes that fiction has become reality and he is now living through TWSA. Although he is the singular omniscient reader of the events yet to come, his success in the scenarios is not guaranteed—but perhaps his advantage will empower him to step into the protagonist role that never suited him before.

[Written by MAL Rewrite]",Unknown,"sing N song (Story), Sleepy-C (Art)","May  26, 2020 to ?"
